source_db_id,n_workchains,n_finished,n_finished_ok,n_finished_with_energy,max_submitted_kindex,medium_kindex,well_kindex,ultra_kindex,ultra_converged,max_finished_kindex,ultra_k_mesh,ultra_energy_per_atom,ultra_oscillation_meV_per_atom,ultra_pk
9015270,7,7,7,7,6,4.0,4.0,4.0,True,6.0,"[3, 3, 3]",-253.61108484957776,0.09746474441385544,347634.0
9015436,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 1]",-590.2609750478666,0.013768222288490506,347740.0
9015451,7,7,7,7,6,3.0,4.0,4.0,True,6.0,"[3, 3, 3]",-238.77494503445556,0.19132761113382912,347828.0
9015684,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[1, 2, 2]",-418.5624181242083,0.3320907500778958,347959.0
9015744,4,4,4,4,3,0.0,0.0,1.0,True,3.0,"[2, 2, 2]",-624.46013244985,0.002262150019305409,348024.0
9016182,10,10,10,10,9,5.0,5.0,7.0,True,9.0,"[3, 3, 4]",-2596.3027812535624,0.5223570001362532,348188.0
9016285,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 1]",-505.13636821873916,0.16193680426113133,348267.0
9016399,12,12,12,12,11,6.0,7.0,9.0,True,11.0,"[5, 5, 6]",-3587.69235736675,0.45783141649735626,348399.0
9016490,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 2]",-715.3561190385001,0.016681499914739106,348482.0
9016565,12,12,12,12,11,5.0,6.0,8.0,True,11.0,"[3, 5, 3]",-617.39403923585,0.9423323375585824,348602.0
9016579,12,12,12,12,11,5.0,6.0,9.0,True,11.0,"[3, 5, 4]",-534.2315512266375,0.20385108746268088,348750.0
90926,5,5,5,5,4,0.0,2.0,2.0,True,4.0,"[2, 2, 2]",-929.0345735071429,0.033748714372450195,349053.0
90927,5,5,5,5,4,0.0,2.0,2.0,True,4.0,"[2, 2, 2]",-937.669291717357,0.35730578576931293,349167.0
91132,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[3, 3, 3]",-520.0109995007916,0.10482412506007677,349256.0
91133,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[3, 3, 3]",-905.4566554046668,0.13011508326599142,349334.0
91240,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[4, 4, 4]",-258.90397681475,0.6886924750233447,349405.0
91241,6,6,6,6,5,1.0,1.0,3.0,True,5.0,"[4, 4, 4]",-2224.24792713475,0.994160199752514,349475.0
91338,7,7,7,7,6,1.0,1.0,2.0,True,6.0,"[3, 3, 3]",-1402.5204548279287,0.8997232498586527,349551.0
91339,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[3, 3, 3]",-1426.3053536452142,0.26096628539562516,349640.0
91454,6,6,6,6,5,3.0,3.0,3.0,True,5.0,"[2, 2, 2]",-464.4425516651923,0.3374096538095728,349716.0
92309,16,16,16,16,15,5.0,6.0,9.0,True,15.0,"[7, 7, 4]",-739.600770267525,0.718421974966077,349849.0
92312,11,11,11,11,10,5.0,7.0,8.0,True,10.0,"[4, 4, 3]",-609.0074764118625,0.9842555000432185,350022.0
92314,13,13,12,12,12,5.0,5.0,10.0,True,12.0,"[5, 5, 3]",-347.4772444325125,0.2633350499650078,350183.0
92315,8,8,8,8,7,3.0,3.0,5.0,True,7.0,"[4, 4, 3]",-870.55780234525,0.32023178744111647,350316.0
92468,7,7,7,7,6,3.0,3.0,4.0,True,6.0,"[2, 2, 3]",-446.713486056135,0.2885514149966184,350459.0
92586,4,4,4,4,3,0.0,0.0,1.0,True,3.0,"[1, 1, 2]",-424.1074435961875,0.7626295208069678,350542.0
93070,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[1, 2, 2]",-500.74109663689995,0.5103263000023617,350641.0
93122,4,4,4,4,3,0.0,0.0,1.0,True,3.0,"[2, 1, 1]",-342.1525423786042,0.7806341874356804,350735.0
9329,8,8,8,8,7,2.0,2.0,4.0,True,7.0,"[2, 2, 3]",-502.4323887507,0.21615800000063246,350846.0
93543,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 2]",-224.05106185997857,0.06572798571369276,350924.0
9366,3,3,3,3,2,0.0,0.0,0.0,True,2.0,"[1, 1, 1]",-1091.2181535270192,0.7817636153504282,350991.0
9389,12,12,12,12,11,7.0,8.0,9.0,True,11.0,"[7, 7, 4]",-1263.736643304125,0.6634352500896057,351117.0
94398,5,5,5,5,4,1.0,1.0,1.0,True,4.0,"[2, 1, 1]",-350.10906565330555,0.4882618055717103,351721.0
9440,8,8,8,8,7,3.0,4.0,5.0,True,7.0,"[2, 2, 5]",-852.836971974925,0.4294045500046195,351845.0
94428,6,6,6,6,5,1.0,2.0,3.0,True,5.0,"[3, 3, 2]",-322.33999046657857,0.03848323575539325,351977.0
94431,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 2]",-171.31854603602727,0.9744948333434422,352090.0
94552,15,15,15,15,14,5.0,6.0,10.0,True,14.0,"[7, 4, 2]",-1560.30915900575,0.6091865000144026,352243.0
94685,16,16,16,16,15,7.0,7.0,13.0,True,15.0,"[12, 12, 3]",-4225.311792849917,0.21969624958728673,352501.0
94686,11,11,11,11,10,7.0,7.0,8.0,True,10.0,"[8, 8, 2]",-4225.30614686025,0.5405808333307505,352674.0
95469,7,7,7,7,6,3.0,3.0,4.0,True,6.0,"[5, 5, 1]",-831.4734775603846,0.37331938460738456,352786.0
95470,7,7,7,7,6,3.0,3.0,4.0,True,6.0,"[5, 5, 1]",-794.8686959054182,0.4248037454317455,352867.0
